"Transaction Hash","Blockno","UnixTimestamp","DateTime (UTC)","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $2538.69898730111/Eth","TxnFee(ETH)","TxnFee(USD)","Historical $Price/Eth","Status","ErrCode","Method"
"0x861d5720157d145a80c9865da5a544fff41cd1fb1cd902433be1e7db3045101e","1621054","1464740900","2016-06-01 00:28:20","0x6c9d61a7bc4effdcad6e72df9dfc12f23b9d5f35","0xbb9bc244d798123fde783fcc1c72d3bb8c189413","","0","0","0","0.00315","7.9969018099985","13.83","Error(0)","Bad jump destination","Vote"
"0xb887a9e8682761570271cc0897bc33149403ce71eb932161154039e9531a87a0","1621062","1464741038","2016-06-01 00:30:38","0x0cf430dd7cb86f331b158f0cfb6d26ea621056a8","0xbb9bc244d798123fde783fcc1c72d3bb8c189413","","0","0","0","0.00125556","3.18748890049578","13.83","","","Transfer"
"0x1c8aaeced111f1f3248f29f214ea6319f815b99bb72026a98cd8bcc640536918","1621065","1464741089","2016-06-01 00:31:29","0xdf21fa922215b1a56f5a6d6294e6e36c85a0acfb","0xbb9bc244d798123fde783fcc1c72d3bb8c189413","","0","0","0","0.00078308","1.98800440297575","13.83","","","Transfer From"
"0xe09a079408c8b67a5f73a2fcd9483282d2106fdacf2a77026776e4eba81cb1cf","1621082","1464741316","2016-06-01 00:35:16","0xdf21fa922215b1a56f5a6d6294e6e36c85a0acfb","0xbb9bc244d798123fde783fcc1c72d3bb8c189413","","0","0","0","0.00155428","3.94584906198237","13.83","","","Transfer"
"0xc629fea7679414df271c7a6d1eae0120c207e30bd055be6ce7d1055b854f3d00","1621085","1464741353","2016-06-01 00:35:53","0x2aac265398ca3d443f061aa0bb49a06711b37bc2","0xbb9bc244d798123fde783fcc1c72d3bb8c189413","","0","0","0","0.00091216","2.31569966825658","13.83","","","Approve"
"0x0f2908920d2840b9b31ac02afb44c14a819b11eda6587a089a8aa5cd4c8cf4b6","1621086","1464741379","2016-06-01 00:36:19","0x702fe30afe09f7646cb0bae453ede54566e508ac","0xbb9bc244d798123fde783fcc1c72d3bb8c189413","","0","0","0","0.001001994","2.54376115308179","13.83","","","Transfer"
"0x35ab53176de9369381ffa1f6e3652b96c63ed07e0080b5d501c8323917bd744c","1621087","1464741387","2016-06-01 00:36:27","0x0a869d79a7052c7f1b55a8ebabbea3420f0d1e13","0xbb9bc244d798123fde783fcc1c72d3bb8c189413","","0","0","0","0.00155556","3.94909859668611","13.83","","","Transfer"
"0xf5cb1621af103c43650e24fb577f3a812077370fe981a8a0ec5ca9f2beb45343","1621087","1464741387","2016-06-01 00:36:27","0xeeef90dd7ff43796d38c7f72a798914d63ea50c4","0xbb9bc244d798123fde783fcc1c72d3bb8c189413","","0","0","0","0.00047714","1.21131483480085","13.83","","","Transfer"
"0x686d192f5b413ef04b66f695edb6b595a760c9db5fe9306f4a248f025c321081","1621094","1464741511","2016-06-01 00:38:31","0xe5b6da937b93258cc3d3a17c757784ac40360c8f","0xbb9bc244d798123fde783fcc1c72d3bb8c189413","","0","0","0","0.001650315291660275","4.18965375966548","13.83","","","Vote"
"0xac1d15267a50e16ba2b59c2d6e9bc22506ed2c8443387be706d411d2452bf56e","1621096","1464741549","2016-06-01 00:39:09","0xa5b0e23e8fc48fb8d935143f73386470a3f5ed46","0xbb9bc244d798123fde783fcc1c72d3bb8c189413","","0","0","0","0.0014185","3.60114451348662","13.83","","","Vote"
"0x5659dc6bd7f9e2c42b3c5fac0a6a94f16150504e502a72ebd54569aa93a80f89","1621102","1464741621","2016-06-01 00:40:21","0x0a869d79a7052c7f1b55a8ebabbea3420f0d1e13","0xbb9bc244d798123fde783fcc1c72d3bb8c189413","","0","0","0","0.00095428","2.4226296696017","13.83","","","Transfer"
"0x2eb9d079e1e55153b08485b8fa60e9dfa73d60358cc56e4eb911d40c7279ee48","1621106","1464741673","2016-06-01 00:41:13","0x69ea6b31ef305d6b99bb2d4c9d99456fa108b02a","0xbb9bc244d798123fde783fcc1c72d3bb8c189413","","0","0","0","0.00095684","2.42912873900919","13.83","","","Transfer"
"0xda622eb6bc33755af1bd2a190d24274f0c4162375a7c645ac8f6a46a56f6a4a6","1621106","1464741673","2016-06-01 00:41:13","0x69ea6b31ef305d6b99bb2d4c9d99456fa108b02a","0xbb9bc244d798123fde783fcc1c72d3bb8c189413","","0","0","0","0.00095556","2.42587920430545","13.83","","","Transfer"
"0xdb1e279c8ad878002c5016fb9284e8421506708321213c80915dd45b24423a93","1621106","1464741673","2016-06-01 00:41:13","0x69ea6b31ef305d6b99bb2d4c9d99456fa108b02a","0xbb9bc244d798123fde783fcc1c72d3bb8c189413","","0","0","0","0.00125428","3.18423936579204","13.83","","","Transfer"
"0x2027299fd48dd50c51aeb6ba1a35cfebbcc1719a7f834a25d5a5500dc5fe6325","1621110","1464741764","2016-06-01 00:42:44","0xdf21fa922215b1a56f5a6d6294e6e36c85a0acfb","0xbb9bc244d798123fde783fcc1c72d3bb8c189413","","0","0","0","0.00108308","2.74961409916609","13.83","","","Transfer From"
"0x509e96686856447c3361faa65b4e39453d8b11a48e05bcc05631978fe4146501","1621110","1464741764","2016-06-01 00:42:44","0xdf21fa922215b1a56f5a6d6294e6e36c85a0acfb","0xbb9bc244d798123fde783fcc1c72d3bb8c189413","","0","0","0","0.0010818","2.74636456446234","13.83","","","Transfer From"
"0xfd3bc6b8f2dffd945e7dc32df9be6583b4db6576674e3c82e2f8a88f0c1133d9","1621115","1464741789","2016-06-01 00:43:09","0x192517fc04eac93ce262ef10d0ccb405c1c8665c","0xbb9bc244d798123fde783fcc1c72d3bb8c189413","","0","0","0","0.0020179565","5.12298412296769","13.83","","","Transfer"
"0xd4cd3f9940137195ce7e6e5c449dacd7964cdd47b79488a736ab00ea1f113f70","1621115","1464741789","2016-06-01 00:43:09","0x192517fc04eac93ce262ef10d0ccb405c1c8665c","0xbb9bc244d798123fde783fcc1c72d3bb8c189413","","0","0","0","0.000953","2.41938013489796","13.83","","","Transfer"
"0xbd8457e399163813910406d7a0b0b6867099e8b074f607c7227b142acaa44a02","1621127","1464741982","2016-06-01 00:46:22","0xdf21fa922215b1a56f5a6d6294e6e36c85a0acfb","0xbb9bc244d798123fde783fcc1c72d3bb8c189413","","0","0","0","0.00078052","1.98150533356826","13.83","","","Transfer From"
"0x72c7fbe9c06d6310b91225d76d87da7e923509f602a63a8850473546f4b3cd8a","1621138","1464742172","2016-06-01 00:49:32","0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98","0xbb9bc244d798123fde783fcc1c72d3bb8c189413","","0","0","0","0.00155428","3.94584906198237","13.83","","","Transfer"
"0x96f4cbe28f49cfcef1dd595f1055418345a6a1b56536f557ea31b6a7b860105b","1621140","1464742199","2016-06-01 00:49:59","0xa5b0e23e8fc48fb8d935143f73386470a3f5ed46","0xbb9bc244d798123fde783fcc1c72d3bb8c189413","","0","0","0","0.00112574","2.85791499796435","13.83","","","Vote"
"0xa0288f34882028325dce079d6675a1cd58fcf9e208930ada38311b31f36c385d","1621143","1464742219","2016-06-01 00:50:19","0x4ceea2ef092566ed5c5381e59cbcb132e79718a6","0xbb9bc244d798123fde783fcc1c72d3bb8c189413","","0","0","0","0.00091216","2.31569966825658","13.83","","","Approve"
"0xb3ccc949b1dcdcd31bf55640bec6a64a0015dd9116cd6b11585bafdd77845eb6","1621143","1464742219","2016-06-01 00:50:19","0xcdf7dc3e94c72a2b93f076804ab54836188ddca9","0xbb9bc244d798123fde783fcc1c72d3bb8c189413","","0","0","0","0.00091216","2.31569966825658","13.83","","","Approve"
"0xc4b20cccd1197f1bbaac3b02825e954c659aa0e8b5e378f00cfa313d0ad5e334","1621148","1464742255","2016-06-01 00:50:55","0x184e605c24994291fc33d42114f91a01a22e0dac","0xbb9bc244d798123fde783fcc1c72d3bb8c189413","","0","0","0","0.00141702","3.59738723898542","13.83","","","Vote"
"0x7fbe09b8f0fac5c3596ed088089f683aa57c042744520b765e5217be1c192306","1621150","1464742275","2016-06-01 00:51:15","0x184e605c24994291fc33d42114f91a01a22e0dac","0xbb9bc244d798123fde783fcc1c72d3bb8c189413","","0","0","0","0.0010235","2.59835841350269","13.83","","","Vote"
"0xaff0f7aee2689ef0f4f9298169c7a347d5ada5dabc98f8158caf9fc0b5876ae6","1621151","1464742339","2016-06-01 00:52:19","0x184e605c24994291fc33d42114f91a01a22e0dac","0xbb9bc244d798123fde783fcc1c72d3bb8c189413","","0","0","0","0.00112722","2.86167227246556","13.83","","","Vote"
"0xbe6d0e043750ac7ce820c9c65de7d4ddff0e29ca655662d20e60344bf2141c09","1621153","1464742351","2016-06-01 00:52:31","0x184e605c24994291fc33d42114f91a01a22e0dac","0xbb9bc244d798123fde783fcc1c72d3bb8c189413","","0","0","0","0.00112722","2.86167227246556","13.83","","","Vote"
"0x2f5e183da36e0071fe010523d63a6e99ab4e99948b64ffda789cb955876dc9b2","1621155","1464742366","2016-06-01 00:52:46","0x479abf2da4d58716fd973a0d13a75f530150260a","0xbb9bc244d798123fde783fcc1c72d3bb8c189413","","0","0","0","0.00391514","9.93936195314207","13.83","","","New Proposal"
"0xf252dacede54232a1c09d1b7f8c5547dccc98f293395b29b54affb82572d63d4","1621166","1464742538","2016-06-01 00:55:38","0x303e33b483b5df3148cb2eaa1c17c486531ddf31","0xbb9bc244d798123fde783fcc1c72d3bb8c189413","","0","0","0","0.0007818","1.98475486827201","13.83","","","Transfer From"
"0x744fc084439e51646d35aa10ea2ee243f3648c14e6362f3334df8fa75adfcc61","1621172","1464742595","2016-06-01 00:56:35","0x42746aeea14f27beff0c0da64253f1e7971890a0","0xbb9bc244d798123fde783fcc1c72d3bb8c189413","","0","0","0","0.001260423315170214","3.19983539379333","13.83","","","Transfer"
"0xec895b415831bf4dc5801a7cdd8778718e62615d545f0d74473654a93ae8376b","1621179","1464742682","2016-06-01 00:58:02","0x69ea6b31ef305d6b99bb2d4c9d99456fa108b02a","0xbb9bc244d798123fde783fcc1c72d3bb8c189413","","0","0","0","0.00155684","3.95234813138986","13.83","","","Transfer"
"0xea2d603b27d4daaf5ab0ddee5df069d89d4ff53c8dc261e5b02018d7c586a8ab","1621179","1464742682","2016-06-01 00:58:02","0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98","0xbb9bc244d798123fde783fcc1c72d3bb8c189413","","0","0","0","0.00078308","1.98800440297575","13.83","","","Transfer From"
"0x9abd79f6b31cf20d0f5bdfa1254141967695bc214d464f8c796bdca49c728c5a","1621204","1464743061","2016-06-01 01:04:21","0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98","0xbb9bc244d798123fde783fcc1c72d3bb8c189413","","0","0","0","0.00155556","3.94909859668611","13.83","","","Transfer"
"0x8160ac7ea1554d490b99a68bd9ea6c185793ab092170e9e91f2b7465cf180a08","1621211","1464743205","2016-06-01 01:06:45","0xe9ee5ed2e9de456a8682a2d33c5e93c3fd595739","0xbb9bc244d798123fde783fcc1c72d3bb8c189413","","0","0","0","0.001487871","3.77725660093469","13.83","","","Vote"
"0xf1b01924705f6a9e70bda9a4552b33c0525b5bb0498d2d68d173cbe357dab3cd","1621216","1464743402","2016-06-01 01:10:02","0x192517fc04eac93ce262ef10d0ccb405c1c8665c","0xbb9bc244d798123fde783fcc1c72d3bb8c189413","","0","0","0","0.00202207938","5.13345087424846","13.83","","","Transfer"
"0x1dd6f7bc12d3f3b87665e5284e53b9fcb94b31d223ade11d64b6779106685a3e","1621216","1464743402","2016-06-01 01:10:02","0xe9ee5ed2e9de456a8682a2d33c5e93c3fd595739","0xbb9bc244d798123fde783fcc1c72d3bb8c189413","","0","0","0","0.001076229","2.73222147240409","13.83","","","Vote"
"0xd879266268d58b435edc8bac35825d0584ec85b7409122b51247ba72dca42dc3","1621216","1464743402","2016-06-01 01:10:02","0xe9ee5ed2e9de456a8682a2d33c5e93c3fd595739","0xbb9bc244d798123fde783fcc1c72d3bb8c189413","","0","0","0","0.00315","7.9969018099985","13.83","Error(0)","Bad jump destination","Vote"
"0xe4976b2f024bd9dc08741f17dd068ec46a90926ad87ebd3ee5eb725a2be29511","1621227","1464743501","2016-06-01 01:11:41","0x702fe30afe09f7646cb0bae453ede54566e508ac","0xbb9bc244d798123fde783fcc1c72d3bb8c189413","","0","0","0","0.00105","2.66563393666617","13.83","Error(0)","Out of gas","Transfer"
